id,ad_season,zipcode,lat,long,suggested_buy_price,suggested_sell_price,profit
7129300520,fall,98178,47.5112,-122.257,215243.0,245377.02,30134.01999999999
2976800796,fall,98178,47.5053,-122.255,228920.0,260968.8,32048.79999999999
3352402236,fall,98178,47.498,-122.263,244925.0,279214.5,34289.5
179000350,fall,98178,47.4925,-122.278,188180.0,214525.19999999998,26345.199999999983
179003055,fall,98178,47.4921,-122.275,203700.0,232217.99999999997,28517.99999999997
3352402250,fall,98178,47.4976,-122.262,116303.0,132585.41999999998,16282.419999999984
399000195,fall,98178,47.4966,-122.255,194000.0,221159.99999999997,27159.99999999997
2328800130,fall,98178,47.5081,-122.266,213400.0,243275.99999999997,29875.99999999997
7129300420,fall,98178,47.5111,-122.256,250260.0,285296.39999999997,35036.399999999965
185000161,fall,98178,47.4932,-122.263,253170.0,288613.8,35443.79999999999
8068000305,fall,98178,47.5075,-122.262,233770.0,266497.8,32727.79999999999
7812800865,fall,98178,47.4925,-122.239,164900.0,187985.99999999997,23085.99999999997
7657600195,fall,98178,47.4934,-122.237,193951.5,221104.71,27153.209999999992
2520900301,fall,98178,47.5071,-122.255,232121.0,264617.94,32496.940000000002
7812800515,fall,98178,47.4971,-122.24,154302.75,175905.13499999998,21602.38499999998
179001425,fall,98178,47.4928,-122.274,223100.0,254333.99999999997,31233.99999999997
179000505,fall,98178,47.4932,-122.278,249290.0,284190.6,34900.59999999998
1180002735,fall,98178,47.498,-122.222,260930.0,297460.19999999995,36530.19999999995
4279900140,fall,98178,47.5008,-122.257,243470.0,277555.8,34085.79999999999
3352401090,fall,98178,47.5012,-122.265,231781.5,264230.91,32449.409999999974
1180003435,fall,98178,47.497,-122.227,266750.0,304095.0,37345.0
7192200040,fall,98178,47.5101,-122.259,271600.0,309624.0,38024.0
2988800065,fall,98178,47.4833,-122.237,272570.0,310729.8,38159.79999999999
393000385,fall,98178,47.5068,-122.259,247350.0,281979.0,34629.0
2976800749,fall,98178,47.5056,-122.254,145500.0,165870.0,20370.0
7812801590,fall,98178,47.4931,-122.247,213303.0,243165.41999999998,29862.419999999984
3352400351,fall,98178,47.5045,-122.27,194000.0,221159.99999999997,27159.99999999997
7812801850,fall,98178,47.4945,-122.249,188180.0,214525.19999999998,26345.199999999983
3347400525,fall,98178,47.4971,-122.279,142590.0,162552.59999999998,19962.599999999977
7657600005,fall,98178,47.4953,-122.238,242451.5,276394.70999999996,33943.20999999996
7689600630,fall,98178,47.4886,-122.246,210005.0,239405.69999999998,29400.699999999983
4059400190,fall,98178,47.5001,-122.242,218250.0,248804.99999999997,30554.99999999997
1123049126,fall,98178,47.4916,-122.254,220190.0,251016.59999999998,30826.599999999977
3352401476,fall,98178,47.5005,-122.267,193988.36,221146.73039999997,27158.370399999985
7689600215,fall,98178,47.4896,-122.248,196425.0,223924.49999999997,27499.49999999997
3352400661,fall,98178,47.5019,-122.269,131823.0,150278.22,18455.22
4060000240,summer,98178,47.5009,-122.248,199262.25,227158.96499999997,27896.714999999967
3969300030,summer,98178,47.4897,-122.24,160050.0,182456.99999999997,22406.99999999997
1180003090,summer,98178,47.4973,-122.221,184300.0,210101.99999999997,25801.99999999997
5476200160,summer,98178,47.5064,-122.265,159863.76,182244.6864,22380.926399999997
7812800310,summer,98178,47.4979,-122.241,252200.0,287508.0,35308.0
3810000565,summer,98178,47.4979,-122.232,247350.0,281979.0,34629.0
3810000202,summer,98178,47.4997,-122.231,244149.0,278329.86,34180.859999999986
4058802105,summer,98178,47.5056,-122.244,145500.0,165870.0,20370.0
5476200123,summer,98178,47.5077,-122.268,194000.0,221159.99999999997,27159.99999999997
7813200115,summer,98178,47.4933,-122.245,97000.0,110579.99999999999,13579.999999999985
7657000165,summer,98178,47.4942,-122.235,194000.0,221159.99999999997,27159.99999999997
3348401584,summer,98178,47.4999,-122.268,203700.0,232217.99999999997,28517.99999999997
3352402195,summer,98178,47.4971,-122.261,163930.0,186880.19999999998,22950.199999999983
8068000585,summer,98178,47.5071,-122.265,227950.0,259862.99999999997,31912.99999999997
1180008315,summer,98178,47.492,-122.224,205640.0,234429.59999999998,28789.599999999977
7657000225,summer,98178,47.4947,-122.237,198850.0,226688.99999999997,27838.99999999997
2144800615,summer,98178,47.4837,-122.236,184300.0,210101.99999999997,25801.99999999997
3352400325,summer,98178,47.5038,-122.266,218250.0,248804.99999999997,30554.99999999997
1180007005,summer,98178,47.4927,-122.224,257971.5,294087.50999999995,36116.00999999995
7812800775,summer,98178,47.4949,-122.239,256322.5,292207.64999999997,35885.149999999965
2144800117,summer,98178,47.4881,-122.237,261900.0,298566.0,36666.0
7812801925,summer,98178,47.4923,-122.247,223100.0,254333.99999999997,31233.99999999997
1180002075,summer,98178,47.4984,-122.224,227950.0,259862.99999999997,31912.99999999997
4058802255,summer,98178,47.5031,-122.245,213351.5,243220.71,29869.209999999992
7689600330,summer,98178,47.4906,-122.244,200790.0,228900.59999999998,28110.599999999977
2172000035,summer,98178,47.4862,-122.264,184300.0,210101.99999999997,25801.99999999997
3348401490,summer,98178,47.4989,-122.265,257050.0,293037.0,35987.0
7812800995,summer,98178,47.4941,-122.24,194000.0,221159.99999999997,27159.99999999997
4059400515,summer,98178,47.5028,-122.243,223051.5,254278.71,31227.209999999992
3348401622,summer,98178,47.5003,-122.269,216310.0,246593.39999999997,30283.399999999965
1180005280,summer,98178,47.4952,-122.224,232751.5,265336.70999999996,32585.209999999963
7961500010,summer,98178,47.4911,-122.224,237650.0,270921.0,33271.0
4059400585,summer,98178,47.5013,-122.244,211460.0,241064.39999999997,29604.399999999965
4060000170,summer,98178,47.5003,-122.248,247350.0,281979.0,34629.0
7812800215,summer,98178,47.4979,-122.24,227950.0,259862.99999999997,31912.99999999997
7657000540,summer,98178,47.4924,-122.237,160050.0,182456.99999999997,22406.99999999997
2144800146,summer,98178,47.4865,-122.238,249775.0,284743.5,34968.5
7878400043,summer,98178,47.4883,-122.248,179450.0,204572.99999999997,25122.99999999997
6874200960,winter,98178,47.5048,-122.272,164900.0,187985.99999999997,23085.99999999997
561000075,winter,98178,47.505,-122.259,252200.0,287508.0,35308.0
3348401740,winter,98178,47.5024,-122.271,182360.0,207890.4,25530.399999999994
185000118,winter,98178,47.495,-122.266,205640.0,234429.59999999998,28789.599999999977
3352400004,winter,98178,47.5056,-122.27,178965.0,204020.09999999998,25055.099999999977
3800008,winter,98178,47.4938,-122.262,172660.0,196832.4,24172.399999999994
4060000440,winter,98178,47.4995,-122.248,233770.0,266497.8,32727.79999999999
4136800205,winter,98178,47.4982,-122.221,250260.0,285296.39999999997,35036.399999999965
4058801230,winter,98178,47.5051,-122.242,248320.0,283084.8,34764.79999999999
7812800681,winter,98178,47.4955,-122.239,161020.0,183562.8,22542.79999999999
7812801125,winter,98178,47.4962,-122.242,216213.0,246482.81999999998,30269.819999999978
7657000085,winter,98178,47.4947,-122.233,211460.0,241064.39999999997,29604.399999999965
179001101,winter,98178,47.494,-122.275,130950.0,149283.0,18333.0
1123049027,winter,98178,47.4963,-122.249,152775.0,174163.49999999997,21388.49999999997
3151600035,winter,98178,47.4977,-122.259,253742.3,289266.22199999995,35523.92199999996
7812800855,winter,98178,47.4928,-122.239,154327.0,175932.78,21605.78
4440400155,winter,98178,47.5035,-122.259,184300.0,210101.99999999997,25801.99999999997
7812801785,winter,98178,47.4927,-122.248,214706.59,244765.5126,30058.92259999999
3352401037,winter,98178,47.5003,-122.26,217280.0,247699.19999999998,30419.199999999983
4268200055,spring,98178,47.4945,-122.22,237650.0,270921.0,33271.0
2171400126,spring,98178,47.4945,-122.258,260930.0,297460.19999999995,36530.19999999995
2171400218,spring,98178,47.4949,-122.255,237650.0,270921.0,33271.0
3810000860,spring,98178,47.4961,-122.235,232800.0,265392.0,32592.0
2976800550,spring,98178,47.5041,-122.253,271604.85,309629.5289999999,38024.678999999946
3810000465,spring,98178,47.4974,-122.231,235710.0,268709.39999999997,32999.399999999965
3352401981,spring,98178,47.4994,-122.261,193030.0,220054.19999999998,27024.199999999983
2172000750,spring,98178,47.4889,-122.259,155200.0,176927.99999999997,21727.99999999997
399000025,spring,98178,47.4973,-122.256,257050.0,293037.0,35987.0
9368700031,spring,98178,47.5054,-122.261,189150.0,215630.99999999997,26480.99999999997
3352400330,spring,98178,47.5039,-122.266,209520.0,238852.8,29332.79999999999
7812801115,spring,98178,47.4959,-122.241,148410.0,169187.4,20777.399999999994
9282800065,spring,98178,47.5026,-122.236,196910.0,224477.4,27567.399999999994
