id,date,zipcode,median_price_zipcode_season,asked_price,buy_suggestion,suggested_buy_price
7129300520,2014-10-13,98178,284000.0,221900.0,Yes,215243.0
2976800796,2014-09-25,98178,284000.0,236000.0,Yes,228920.0
3352402236,2014-12-15,98178,284000.0,252500.0,Yes,244925.0
1180002378,2014-09-26,98178,284000.0,299000.0,No,Not suggested
1180500070,2014-11-24,98178,284000.0,335000.0,No,Not suggested
179000350,2014-11-05,98178,284000.0,194000.0,Yes,188180.0
7878400135,2014-11-20,98178,284000.0,355000.0,No,Not suggested
7887200390,2014-09-26,98178,284000.0,294000.0,No,Not suggested
179003055,2014-11-13,98178,284000.0,210000.0,Yes,203700.0
8073000495,2014-10-10,98178,284000.0,700000.0,No,Not suggested
4058801240,2014-10-28,98178,284000.0,330000.0,No,Not suggested
3352402250,2014-10-21,98178,284000.0,119900.0,Yes,116303.0
399000195,2014-10-20,98178,284000.0,200000.0,Yes,194000.0
1180500100,2014-09-24,98178,284000.0,353000.0,No,Not suggested
3991400080,2014-12-16,98178,284000.0,499900.0,No,Not suggested
2328800130,2014-12-17,98178,284000.0,220000.0,Yes,213400.0
7129300420,2014-12-02,98178,284000.0,258000.0,Yes,250260.0
185000161,2014-10-15,98178,284000.0,261000.0,Yes,253170.0
4058801310,2014-10-09,98178,284000.0,287000.0,No,Not suggested
8068000305,2014-11-04,98178,284000.0,241000.0,Yes,233770.0
3878900185,2014-10-22,98178,284000.0,303100.0,No,Not suggested
4058200630,2014-10-02,98178,284000.0,353000.0,No,Not suggested
7812800865,2014-11-19,98178,284000.0,170000.0,Yes,164900.0
7657600195,2014-11-05,98178,284000.0,199950.0,Yes,193951.5
1180000625,2014-10-29,98178,284000.0,315000.0,No,Not suggested
9218400088,2014-11-19,98178,284000.0,495000.0,No,Not suggested
2520900301,2014-10-22,98178,284000.0,239300.0,Yes,232121.0
7812800515,2014-10-25,98178,284000.0,159075.0,Yes,154302.75
4058801225,2014-12-02,98178,284000.0,350000.0,No,Not suggested
372000040,2014-10-03,98178,284000.0,304000.0,No,Not suggested
179001425,2014-10-24,98178,284000.0,230000.0,Yes,223100.0
2976800115,2014-11-05,98178,284000.0,349170.0,No,Not suggested
4059400265,2014-11-14,98178,284000.0,339950.0,No,Not suggested
7390400026,2014-11-24,98178,284000.0,315000.0,No,Not suggested
179000505,2014-10-24,98178,284000.0,257000.0,Yes,249290.0
1180000885,2014-10-30,98178,284000.0,340500.0,No,Not suggested
1180002735,2014-11-19,98178,284000.0,269000.0,Yes,260930.0
4279900140,2014-10-01,98178,284000.0,251000.0,Yes,243470.0
3352401090,2014-11-13,98178,284000.0,238950.0,Yes,231781.5
2144800311,2014-11-13,98178,284000.0,315000.0,No,Not suggested
1180002470,2014-11-04,98178,284000.0,354000.0,No,Not suggested
